reservation_id,customer_id,theatre_id,movie_id,payment_id,booking_time_id,show_time_id,theatre_screen,seat_type,seats_booked,ticket_unit_price,base_amount,convenience_fee,tax_amount,discount_amount,quoted_total_amount,realized_total_amount,reservation_status,payment_status,booking_channel,promo_code
85,180,10,26,5,202503201530,202503232100,2,Recliner,2,330,660,29.8,124.16,0.0,813.96,813.96,Confirmed,Success,Web,
86,311,14,4,2,202409191300,202409232000,6,Regular,6,500,3000,100.0,558.0,0.0,3658.0,3658.0,Confirmed,Success,iOS,
87,111,6,23,4,202501051230,202501212330,9,Regular,3,370,1110,43.3,207.59,0.0,1360.89,1360.89,Confirmed,Success,Web,
88,123,16,35,1,202505292330,202506241300,1,Regular,1,230,230,16.9,40.3,23.0,264.2,264.2,Confirmed,Success,iOS,
89,89,5,30,16,202504272300,202505062000,3,Regular,3,210,630,28.9,118.6,0.0,777.5,777.5,Confirmed,Success,Web,
90,186,20,26,20,202508151130,202508172230,6,Regular,1,340,340,20.2,64.84,0.0,425.04,425.04,Confirmed,Success,Web,MOVIE10
91,335,18,55,8,202507140900,202507151900,5,Recliner,1,530,530,25.9,100.06,0.0,655.96,655.96,Confirmed,Success,Android,
92,191,16,33,16,202506191700,202507132100,2,Premium,5,375,1875,66.25,322.43,150.0,2113.68,2113.68,Confirmed,Success,Web,
93,64,2,57,20,202507051100,202507061230,3,Regular,6,200,1200,46.0,224.28,0.0,1470.28,1470.28,Confirmed,Success,Android,
94,118,2,15,14,202503262130,202504181530,4,Recliner,2,355,710,31.3,133.43,0.0,874.73,874.73,Confirmed,Success,Web,WELCOME50
95,441,7,1,15,202501021700,202501232230,2,Regular,4,285,1140,44.2,213.16,0.0,1397.36,1397.36,Confirmed,Success,Android,
96,339,11,43,19,202411071800,202412041900,2,Regular,4,350,1400,52.0,261.36,0.0,1713.36,0.0,Confirmed,Refunded,Web,WEEKEND25
97,259,13,35,19,202508062200,202508091300,7,Regular,6,195,1170,45.1,197.66,117.0,1295.76,1295.76,Confirmed,Success,Web,
98,276,11,43,19,202406201200,202406271930,2,Regular,2,350,700,31.0,131.58,0.0,862.58,862.58,Confirmed,Success,iOS,
99,402,18,27,10,202412111230,202501081230,1,Regular,1,265,265,17.95,46.16,26.5,302.61,0.0,Cancelled,Refunded,iOS,
100,221,17,24,19,202408282300,202409011900,4,Premium,2,495,990,39.7,185.35,0.0,1215.05,1215.05,Confirmed,Success,Web,
101,364,18,57,18,202507041300,202507092100,5,Regular,4,330,1320,49.6,246.53,0.0,1616.13,1616.13,Confirmed,Success,iOS,
102,480,6,45,10,202505112000,202505261830,8,IMAX,3,835,2505,85.15,439.23,150.0,2879.38,2879.38,Confirmed,Success,Android,
103,244,5,12,10,202504281630,202505041100,4,IMAX,2,300,600,28.0,113.04,0.0,741.04,741.04,Confirmed,Success,Android,
104,418,12,11,5,202405251200,202405291330,2,Regular,1,200,200,16.0,38.88,0.0,254.88,254.88,Confirmed,Success,iOS,MOVIE10
105,235,2,43,13,202408041100,202408051800,6,Regular,2,250,500,25.0,85.5,50.0,560.5,560.5,Confirmed,Success,Android,
106,3,16,39,2,202502102000,202503031200,3,IMAX,1,415,415,22.45,78.74,0.0,516.19,0.0,Cancelled,Refunded,iOS,
107,402,17,52,11,202502261730,202503110900,6,Regular,1,305,305,19.15,58.35,0.0,382.5,382.5,Confirmed,Success,Web,
108,422,18,43,8,202505061930,202505091930,8,Regular,6,330,1980,69.4,368.89,0.0,2418.29,2418.29,Confirmed,Success,iOS,
109,406,15,59,7,202505311500,202506011800,4,Recliner,6,755,4530,145.9,841.66,0.0,5517.56,5517.56,Confirmed,Success,Web,
110,452,1,1,2,202502251330,202503081830,1,Premium,6,245,1470,54.1,274.34,0.0,1798.44,1798.44,Confirmed,Success,Web,
111,371,18,33,2,202504301800,202505171800,4,Regular,4,330,1320,49.6,246.53,0.0,1616.13,1616.13,Confirmed,Success,iOS,
112,407,16,34,2,202410131230,202410261530,1,Premium,3,330,990,39.7,167.53,99.0,1098.23,1098.23,Confirmed,Success,Android,
113,311,13,55,9,202502212300,202503122130,3,Recliner,4,390,1560,56.8,291.02,0.0,1907.82,0.0,Confirmed,Failed,Web,
114,135,3,43,13,202411271200,202412202300,6,Regular,5,255,1275,48.25,215.23,127.5,1410.98,1410.98,Confirmed,Success,Android,
115,32,15,26,7,202508111800,202508182030,6,Regular,2,470,940,38.2,176.08,0.0,1154.28,1154.28,Confirmed,Success,Web,WELCOME50
116,81,19,7,12,202504301730,202505071800,1,Regular,1,230,230,16.9,44.44,0.0,291.34,291.34,Confirmed,Success,Android,
117,258,17,32,11,202407231530,202408171800,9,Recliner,4,610,2440,83.2,427.18,150.0,2800.38,2800.38,Confirmed,Success,iOS,FESTIVE150
118,90,13,4,17,202410131130,202410251800,3,Regular,2,240,480,24.4,82.15,48.0,538.55,538.55,Confirmed,Success,Web,FIRST100
119,340,11,37,7,202409082000,202409141800,2,Regular,6,350,2100,73.0,364.14,150.0,2387.14,2387.14,Confirmed,Success,Android,
120,108,11,23,7,202506241000,202507192100,1,IMAX,4,630,2520,85.6,442.01,150.0,2897.61,0.0,Confirmed,Failed,Android,
121,90,6,2,12,202504181330,202504271130,2,IMAX,2,670,1340,50.2,226.12,134.0,1482.32,1482.32,Confirmed,Success,Android,WEEKEND25
122,124,10,28,12,202507132330,202507302000,2,Regular,4,205,820,34.6,153.83,0.0,1008.43,1008.43,Confirmed,Success,Android,
123,500,9,6,16,202504122000,202504152200,3,Regular,6,250,1500,55.0,279.9,0.0,1834.9,0.0,Cancelled,Refunded,Web,
124,286,20,44,6,202412311200,202501031900,3,Recliner,4,545,2180,75.4,378.97,150.0,2484.37,0.0,Cancelled,Refunded,Web,
125,131,15,38,12,202408032330,202408091230,4,Regular,5,375,1875,66.25,349.43,0.0,2290.68,2290.68,Confirmed,Success,Web,
126,492,19,59,10,202507171600,202507231300,6,Premium,4,240,960,38.8,162.5,96.0,1065.3,1065.3,Confirmed,Success,iOS,MOVIE10
127,356,15,57,6,202505071630,202505311600,5,IMAX,4,745,2980,99.4,554.29,0.0,3633.69,3633.69,Confirmed,Success,Android,
128,34,8,17,6,202504242000,202504291500,1,Regular,2,440,880,36.4,164.95,0.0,1081.35,1081.35,Confirmed,Success,iOS,MOVIE10
129,428,22,33,7,202503301400,202504090900,1,IMAX,1,290,290,18.7,50.35,29.0,330.05,330.05,Confirmed,Success,iOS,
130,270,24,11,18,202403221100,202403282100,1,Premium,1,575,575,27.25,108.41,0.0,710.66,710.66,Confirmed,Success,Android,
131,488,17,48,10,202502272300,202502282300,1,Regular,1,305,305,19.15,58.35,0.0,382.5,382.5,Confirmed,Success,Web,
132,48,15,27,1,202506021230,202506232300,2,Regular,2,375,750,32.5,140.85,0.0,923.35,923.35,Confirmed,Success,Web,
133,22,8,41,3,202409251430,202410181900,1,Regular,2,500,1000,40.0,187.2,0.0,1227.2,1227.2,Confirmed,Success,Web,
134,330,21,40,15,202411241030,202412211800,1,Regular,5,340,1700,61.0,289.98,150.0,1900.98,1900.98,Confirmed,Success,Web,WELCOME50
135,304,9,26,9,202507251500,202508201830,6,IMAX,6,455,2730,91.9,507.94,0.0,3329.84,3329.84,Confirmed,Success,Android,
136,494,20,20,3,202503221600,202503261830,2,Regular,6,340,2040,71.2,380.02,0.0,2491.22,2491.22,Confirmed,Success,iOS,
137,190,2,33,10,202504271400,202504271800,6,Regular,1,250,250,17.5,43.65,25.0,286.15,286.15,Confirmed,Success,Web,
138,486,20,31,19,202504262200,202505262030,6,Regular,5,340,1700,61.0,289.98,150.0,1900.98,1900.98,Confirmed,Success,Web,
139,231,1,24,8,202504191430,202504291730,6,Regular,2,165,330,19.9,57.04,33.0,373.94,0.0,Confirmed,Refunded,iOS,MOVIE10
140,414,10,49,10,202506291830,202507291000,1,Recliner,3,265,795,33.85,149.19,0.0,978.04,978.04,Confirmed,Success,Android,
141,32,2,6,19,202412081430,202501012200,6,Premium,2,330,660,29.8,124.16,0.0,813.96,813.96,Confirmed,Success,iOS,
142,68,24,57,19,202506102030,202506261600,1,Regular,3,390,1170,45.1,197.66,117.0,1295.76,0.0,Confirmed,Refunded,iOS,
143,25,23,18,4,202404261930,202405021730,5,Regular,3,415,1245,47.35,232.62,0.0,1524.97,1524.97,Confirmed,Success,Android,
144,173,15,38,19,202405221000,202405301900,4,Premium,6,615,3690,120.7,685.93,0.0,4496.63,4496.63,Confirmed,Success,Android,
145,177,21,19,15,202501071500,202501161730,3,Premium,4,390,1560,56.8,291.02,0.0,1907.82,0.0,Cancelled,Refunded,Web,
146,391,12,40,2,202505101900,202506071830,1,Regular,1,250,250,17.5,48.15,0.0,315.65,315.65,Confirmed,Success,Web,
147,111,25,44,14,202506211330,202507072100,1,Premium,6,620,3720,121.6,691.49,0.0,4533.09,0.0,Confirmed,Failed,Android,
148,266,9,56,13,202504180930,202505111500,2,Premium,4,290,1160,44.8,216.86,0.0,1421.66,0.0,Confirmed,Refunded,iOS,
149,205,21,29,7,202409290930,202410042130,10,Premium,4,445,1780,63.4,331.81,0.0,2175.21,2175.21,Confirmed,Success,Web,
150,133,9,29,13,202407071130,202407151630,1,Recliner,4,355,1420,52.6,265.07,0.0,1737.67,1737.67,Confirmed,Success,iOS,MOVIE10
151,2,12,9,1,202503242200,202503271930,2,Recliner,4,400,1600,58.0,298.44,0.0,1956.44,1956.44,Confirmed,Success,Web,
152,161,25,37,11,202504301700,202505011800,7,Regular,4,480,1920,67.6,357.77,0.0,2345.37,2345.37,Confirmed,Success,iOS,
153,415,6,52,6,202502021300,202502222200,4,Premium,1,605,605,28.15,103.08,60.5,675.73,675.73,Confirmed,Success,Android,MOVIE10
154,480,25,24,17,202412151430,202412282230,4,Recliner,4,765,3060,101.8,569.12,0.0,3730.92,3730.92,Confirmed,Success,Web,
155,308,14,15,8,202506091730,202506191900,3,Regular,4,500,2000,70.0,372.6,0.0,2442.6,2442.6,Confirmed,Success,Web,
156,63,24,59,11,202507301300,202508161430,2,Regular,6,390,2340,80.2,435.64,0.0,2855.84,2855.84,Confirmed,Success,Web,
157,73,4,1,11,202503282000,202503292000,9,Recliner,6,520,3120,103.6,580.25,0.0,3803.85,0.0,Cancelled,Refunded,Web,
158,208,21,24,12,202502231100,202503142200,5,Premium,6,445,2670,90.1,496.82,0.0,3256.92,3256.92,Confirmed,Success,Android,
159,427,15,59,7,202506042030,202506192100,10,Premium,4,615,2460,83.8,457.88,0.0,3001.68,3001.68,Confirmed,Success,iOS,
160,42,12,15,20,202503292330,202504242100,1,IMAX,5,450,2250,77.5,418.95,0.0,2746.45,2746.45,Confirmed,Success,iOS,
161,354,21,56,15,202507061100,202507071230,9,Regular,5,275,1375,51.25,256.72,0.0,1682.97,1682.97,Confirmed,Success,Web,
162,384,17,37,11,202501182200,202501301830,4,Regular,4,380,1520,55.6,283.61,0.0,1859.21,0.0,Cancelled,Failed,Web,
163,286,12,19,20,202504221630,202505161200,3,Regular,2,200,400,22.0,75.96,0.0,497.96,497.96,Confirmed,Success,Android,
164,56,19,15,4,202506011200,202506161330,6,Premium,3,240,720,31.6,135.29,0.0,886.89,0.0,Confirmed,Failed,Android,FESTIVE150
165,165,6,42,15,202501121500,202502082030,1,Recliner,5,745,3725,121.75,692.41,0.0,4539.16,4539.16,Confirmed,Success,Android,
166,420,7,40,5,202410262330,202411021800,1,Recliner,1,455,455,23.65,86.16,0.0,564.81,564.81,Confirmed,Success,Web,
167,416,21,51,5,202406152030,202406282100,4,Regular,1,340,340,20.2,64.84,0.0,425.04,425.04,Confirmed,Success,Web,
168,242,16,48,17,202506270930,202507242030,2,Regular,5,290,1450,53.5,270.63,0.0,1774.13,1774.13,Confirmed,Success,iOS,
169,3,1,3,14,202506012300,202506251300,1,Regular,3,150,450,23.5,77.13,45.0,505.63,505.63,Confirmed,Success,Web,
170,176,21,8,7,202506242230,202507172000,7,Premium,5,445,2225,76.75,387.31,150.0,2539.06,2539.06,Confirmed,Success,Web,
171,119,17,26,1,202503072330,202503231130,3,Regular,4,305,1220,46.6,206.03,122.0,1350.63,1350.63,Confirmed,Success,Web,MOVIE10
172,251,3,19,16,202412151630,202412231430,3,Regular,1,280,280,18.4,53.71,0.0,352.11,352.11,Confirmed,Success,Android,
173,83,14,1,20,202501101000,202501101100,4,Regular,6,400,2400,82.0,446.76,0.0,2928.76,2928.76,Confirmed,Success,Web,
174,426,11,37,17,202502221900,202503091600,1,Premium,2,400,800,34.0,150.12,0.0,984.12,984.12,Confirmed,Success,Android,
175,213,8,39,6,202501192000,202502082330,9,Regular,5,400,2000,70.0,372.6,0.0,2442.6,2442.6,Confirmed,Success,iOS,
176,277,6,49,7,202411202300,202411281830,8,Premium,4,605,2420,82.6,450.47,0.0,2953.07,2953.07,Confirmed,Success,Android,
177,187,17,54,17,202505300900,202505311500,8,Regular,4,335,1340,50.2,250.24,0.0,1640.44,0.0,Confirmed,Refunded,Android,
178,155,11,51,9,202504221530,202505102330,2,IMAX,4,505,2020,70.6,376.31,0.0,2466.91,2466.91,Confirmed,Success,iOS,
179,250,17,22,4,202505031230,202505052000,4,Regular,6,380,2280,78.4,424.51,0.0,2782.91,2782.91,Confirmed,Success,Android,
180,147,25,38,16,202404052300,202404171600,5,IMAX,5,755,3775,123.25,701.68,0.0,4599.93,4599.93,Confirmed,Success,Web,FIRST100
181,67,1,9,5,202501131800,202501201230,10,IMAX,5,270,1350,50.5,252.09,0.0,1652.59,0.0,Cancelled,Failed,Web,
182,375,17,19,8,202504091830,202504151500,6,Regular,2,335,670,30.1,113.96,67.0,747.06,747.06,Confirmed,Success,Android,
183,293,22,34,9,202405041130,202405072230,5,Premium,2,260,520,25.6,98.21,0.0,643.81,643.81,Confirmed,Success,Web,
184,258,5,35,5,202507142000,202507301630,7,Recliner,1,290,290,18.7,55.57,0.0,364.27,364.27,Confirmed,Success,Android,FIRST100
185,43,16,22,17,202407101800,202407162030,3,Regular,5,290,1450,53.5,270.63,0.0,1774.13,0.0,Confirmed,Failed,Web,FIRST100
186,82,7,41,9,202507131100,202507262100,1,Regular,3,285,855,35.65,160.32,0.0,1050.97,1050.97,Confirmed,Success,Android,MOVIE10
187,17,14,40,12,202506170900,202506222300,1,Recliner,5,640,3200,106.0,595.08,0.0,3901.08,3901.08,Confirmed,Success,Android,
188,209,4,42,12,202501112330,202501171930,2,Regular,4,325,1300,49.0,242.82,0.0,1591.82,1591.82,Confirmed,Success,iOS,
189,298,20,11,20,202505031630,202505201100,1,Regular,3,275,825,34.75,154.75,0.0,1014.5,1014.5,Confirmed,Success,Web,
190,442,20,50,10,202501201130,202502052100,1,Premium,6,445,2670,90.1,496.82,0.0,3256.92,3256.92,Confirmed,Success,Web,
191,427,21,27,12,202505192330,202505202030,9,Regular,2,340,680,30.4,127.87,0.0,838.27,838.27,Confirmed,Success,Web,
192,165,9,52,8,202507291830,202508151300,1,Recliner,4,325,1300,49.0,242.82,0.0,1591.82,1591.82,Confirmed,Success,Web,
193,194,2,19,4,202504100930,202504141900,2,Premium,3,330,990,39.7,185.35,0.0,1215.05,1215.05,Confirmed,Success,Android,
194,430,21,19,17,202502012100,202502021500,6,Regular,4,300,1200,46.0,202.68,120.0,1328.68,1328.68,Confirmed,Success,Web,FIRST100
195,101,5,40,16,202501041130,202501061900,7,Regular,3,210,630,28.9,118.6,0.0,777.5,0.0,Cancelled,Refunded,Web,
196,132,17,59,17,202505260930,202506132030,2,Regular,3,380,1140,44.2,213.16,0.0,1397.36,1397.36,Confirmed,Success,iOS,
197,467,20,27,2,202501261400,202502011030,1,Premium,6,355,2130,73.9,396.7,0.0,2600.6,2600.6,Confirmed,Success,Web,
198,300,10,15,1,202504071700,202504122030,3,Regular,3,205,615,28.45,104.75,61.5,686.7,686.7,Confirmed,Success,Android,FESTIVE150
199,25,12,36,18,202403261830,202404131900,1,Regular,2,250,500,25.0,94.5,0.0,619.5,619.5,Confirmed,Success,Web,
